frecuencia,magnitud,eje_magnitud,poblacion,prob_persistencia,fraccion_media
0.0,1.0,radio,viva,0.0,0.0
0.05454545454545454,1.0,radio,viva,0.0,0.0
0.10909090909090909,1.0,radio,viva,0.0,0.0
0.16363636363636364,1.0,radio,viva,0.0,0.0
0.21818181818181817,1.0,radio,viva,0.0,0.0
0.2727272727272727,1.0,radio,viva,0.0,0.0
0.32727272727272727,1.0,radio,viva,0.0,0.0
0.3818181818181818,1.0,radio,viva,0.0,0.0
0.43636363636363634,1.0,radio,viva,0.0,0.0
0.4909090909090909,1.0,radio,viva,0.0,0.0
0.5454545454545454,1.0,radio,viva,0.0,0.0
0.6,1.0,radio,viva,0.0,0.0
0.0,2.3636363636363633,radio,viva,0.0,0.0
0.05454545454545454,2.3636363636363633,radio,viva,0.0,0.0
0.10909090909090909,2.3636363636363633,radio,viva,0.0,0.0
0.16363636363636364,2.3636363636363633,radio,viva,0.0,0.0
0.21818181818181817,2.3636363636363633,radio,viva,0.0,0.0
0.2727272727272727,2.3636363636363633,radio,viva,0.0,0.0
0.32727272727272727,2.3636363636363633,radio,viva,0.0,0.0
0.3818181818181818,2.3636363636363633,radio,viva,0.0,0.0
0.43636363636363634,2.3636363636363633,radio,viva,0.0,0.0
0.4909090909090909,2.3636363636363633,radio,viva,0.0,0.0
0.5454545454545454,2.3636363636363633,radio,viva,0.0,0.0
0.6,2.3636363636363633,radio,viva,0.0,0.0
0.0,3.727272727272727,radio,viva,0.0,0.0
0.05454545454545454,3.727272727272727,radio,viva,0.0,0.0
0.10909090909090909,3.727272727272727,radio,viva,0.0,0.0
0.16363636363636364,3.727272727272727,radio,viva,0.0,0.0
0.21818181818181817,3.727272727272727,radio,viva,0.0,0.0
0.2727272727272727,3.727272727272727,radio,viva,0.0,0.0
0.32727272727272727,3.727272727272727,radio,viva,0.0,0.0
0.3818181818181818,3.727272727272727,radio,viva,0.0,0.0
0.43636363636363634,3.727272727272727,radio,viva,0.0,0.0
0.4909090909090909,3.727272727272727,radio,viva,0.0,0.0
0.5454545454545454,3.727272727272727,radio,viva,0.0,0.0
0.6,3.727272727272727,radio,viva,0.0,0.0
0.0,5.090909090909091,radio,viva,0.0,0.0
0.05454545454545454,5.090909090909091,radio,viva,0.0,0.0
0.10909090909090909,5.090909090909091,radio,viva,0.0,0.0
0.16363636363636364,5.090909090909091,radio,viva,0.0,0.0
0.21818181818181817,5.090909090909091,radio,viva,0.0,0.0
0.2727272727272727,5.090909090909091,radio,viva,0.0,0.0
0.32727272727272727,5.090909090909091,radio,viva,0.0,0.0
0.3818181818181818,5.090909090909091,radio,viva,0.0,0.0
0.43636363636363634,5.090909090909091,radio,viva,0.0,0.0
0.4909090909090909,5.090909090909091,radio,viva,0.0,0.0
0.5454545454545454,5.090909090909091,radio,viva,0.0,0.0
0.6,5.090909090909091,radio,viva,0.0,0.0
0.0,6.454545454545454,radio,viva,0.0,0.0
0.05454545454545454,6.454545454545454,radio,viva,0.0,0.0
0.10909090909090909,6.454545454545454,radio,viva,0.0,0.0
0.16363636363636364,6.454545454545454,radio,viva,0.0,0.0
0.21818181818181817,6.454545454545454,radio,viva,0.0,0.0
0.2727272727272727,6.454545454545454,radio,viva,0.0,0.0
0.32727272727272727,6.454545454545454,radio,viva,0.0,0.0
0.3818181818181818,6.454545454545454,radio,viva,0.0,0.0
0.43636363636363634,6.454545454545454,radio,viva,0.0,0.0
0.4909090909090909,6.454545454545454,radio,viva,0.0,0.0
0.5454545454545454,6.454545454545454,radio,viva,0.0,0.0
0.6,6.454545454545454,radio,viva,0.0,0.0
0.0,7.8181818181818175,radio,viva,0.0,0.0
0.05454545454545454,7.8181818181818175,radio,viva,0.0,0.0
0.10909090909090909,7.8181818181818175,radio,viva,0.0,0.0
0.16363636363636364,7.8181818181818175,radio,viva,0.0,0.0
0.21818181818181817,7.8181818181818175,radio,viva,0.0,0.0
0.2727272727272727,7.8181818181818175,radio,viva,0.0,0.0
0.32727272727272727,7.8181818181818175,radio,viva,0.0,0.0
0.3818181818181818,7.8181818181818175,radio,viva,0.0,0.0
0.43636363636363634,7.8181818181818175,radio,viva,0.0,0.0
0.4909090909090909,7.8181818181818175,radio,viva,0.0,0.0
0.5454545454545454,7.8181818181818175,radio,viva,0.0,0.0
0.6,7.8181818181818175,radio,viva,0.0,0.0
0.0,9.181818181818182,radio,viva,0.0,0.0
0.05454545454545454,9.181818181818182,radio,viva,0.0,0.0
0.10909090909090909,9.181818181818182,radio,viva,0.0,0.0
0.16363636363636364,9.181818181818182,radio,viva,0.0,0.0
0.21818181818181817,9.181818181818182,radio,viva,0.0,0.0
0.2727272727272727,9.181818181818182,radio,viva,0.0,0.0
0.32727272727272727,9.181818181818182,radio,viva,0.0,0.0
0.3818181818181818,9.181818181818182,radio,viva,0.0,0.0
0.43636363636363634,9.181818181818182,radio,viva,0.0,0.0
0.4909090909090909,9.181818181818182,radio,viva,0.08333333333333333,0.00010416666666666667
0.5454545454545454,9.181818181818182,radio,viva,0.16666666666666666,0.0004166666666666667
0.6,9.181818181818182,radio,viva,0.16666666666666666,0.00010416666666666667
0.0,10.545454545454545,radio,viva,0.0,0.0
0.05454545454545454,10.545454545454545,radio,viva,0.0,0.0
0.10909090909090909,10.545454545454545,radio,viva,0.0,0.0
0.16363636363636364,10.545454545454545,radio,viva,0.0,0.0
0.21818181818181817,10.545454545454545,radio,viva,0.0,0.0
0.2727272727272727,10.545454545454545,radio,viva,0.0,0.0
0.32727272727272727,10.545454545454545,radio,viva,0.0,0.0
0.3818181818181818,10.545454545454545,radio,viva,0.0,0.0
0.43636363636363634,10.545454545454545,radio,viva,0.08333333333333333,5.208333333333334e-05
0.4909090909090909,10.545454545454545,radio,viva,0.4166666666666667,0.0022395833333333334
0.5454545454545454,10.545454545454545,radio,viva,0.3333333333333333,0.0032291666666666666
0.6,10.545454545454545,radio,viva,0.5,0.0035937499999999997
0.0,11.909090909090908,radio,viva,0.0,0.0
0.05454545454545454,11.909090909090908,radio,viva,0.0,0.0
0.10909090909090909,11.909090909090908,radio,viva,0.0,0.0
0.16363636363636364,11.909090909090908,radio,viva,0.0,0.0
0.21818181818181817,11.909090909090908,radio,viva,0.0,0.0
0.2727272727272727,11.909090909090908,radio,viva,0.0,0.0
0.32727272727272727,11.909090909090908,radio,viva,0.08333333333333333,0.00010416666666666667
0.3818181818181818,11.909090909090908,radio,viva,0.08333333333333333,5.208333333333334e-05
0.43636363636363634,11.909090909090908,radio,viva,0.5,0.0011979166666666668
0.4909090909090909,11.909090909090908,radio,viva,0.6666666666666666,0.009947916666666667
0.5454545454545454,11.909090909090908,radio,viva,0.8333333333333334,0.007864583333333335
0.6,11.909090909090908,radio,viva,0.9166666666666666,0.013697916666666669
0.0,13.272727272727272,radio,viva,0.0,0.0
0.05454545454545454,13.272727272727272,radio,viva,0.0,0.0
0.10909090909090909,13.272727272727272,radio,viva,0.0,0.0
0.16363636363636364,13.272727272727272,radio,viva,0.0,0.0
0.21818181818181817,13.272727272727272,radio,viva,0.0,0.0
0.2727272727272727,13.272727272727272,radio,viva,0.0,0.0
0.32727272727272727,13.272727272727272,radio,viva,0.3333333333333333,0.0008333333333333334
0.3818181818181818,13.272727272727272,radio,viva,0.6666666666666666,0.0011979166666666668
0.43636363636363634,13.272727272727272,radio,viva,0.9166666666666666,0.0065625000000000015
0.4909090909090909,13.272727272727272,radio,viva,0.75,0.024427083333333332
0.5454545454545454,13.272727272727272,radio,viva,1.0,0.024166666666666666
0.6,13.272727272727272,radio,viva,1.0,0.041354166666666664
0.0,14.636363636363635,radio,viva,0.0,0.0
0.05454545454545454,14.636363636363635,radio,viva,0.0,0.0
0.10909090909090909,14.636363636363635,radio,viva,0.0,0.0
0.16363636363636364,14.636363636363635,radio,viva,0.08333333333333333,5.208333333333334e-05
0.21818181818181817,14.636363636363635,radio,viva,0.0,0.0
0.2727272727272727,14.636363636363635,radio,viva,0.16666666666666666,0.0003125
0.32727272727272727,14.636363636363635,radio,viva,0.3333333333333333,0.003489583333333333
0.3818181818181818,14.636363636363635,radio,viva,0.75,0.004791666666666667
0.43636363636363634,14.636363636363635,radio,viva,1.0,0.017604166666666667
0.4909090909090909,14.636363636363635,radio,viva,1.0,0.04541666666666667
0.5454545454545454,14.636363636363635,radio,viva,1.0,0.047500000000000014
0.6,14.636363636363635,radio,viva,1.0,0.07072916666666666
0.0,16.0,radio,viva,0.0,0.0
0.05454545454545454,16.0,radio,viva,0.0,0.0
0.10909090909090909,16.0,radio,viva,0.0,0.0
0.16363636363636364,16.0,radio,viva,0.08333333333333333,0.00026041666666666666
0.21818181818181817,16.0,radio,viva,0.16666666666666666,0.00010416666666666667
0.2727272727272727,16.0,radio,viva,0.5,0.00234375
0.32727272727272727,16.0,radio,viva,0.5833333333333334,0.009270833333333334
