Fecha,Temperatura_C,Radiacion_Solar_W_m2,Actividad_Agua_aw
2025-01-01,7.47,443.75,0.7425
2025-01-02,8.09,448.3333333333333,0.7288
2025-01-03,11.61,302.0833333333333,0.7375
2025-01-04,9.16,350.8333333333333,0.8288
2025-01-05,8.51,430.8333333333333,0.8765000000000001
2025-01-06,9.63,452.5,0.8915000000000001
2025-01-07,10.35,357.0833333333333,0.662
2025-01-08,7.67,391.6666666666667,0.44079999999999997
2025-01-09,7.82,514.1666666666666,0.5565
2025-01-10,9.01,503.75,0.4096
2025-01-11,8.53,520.0,0.6731999999999999
2025-01-12,6.27,528.3333333333334,0.5802
2025-01-13,6.17,529.1666666666666,0.46759999999999996
2025-01-14,6.16,516.25,0.48960000000000004
2025-01-15,7.85,520.0,0.449
2025-01-16,8.03,519.5833333333334,0.46840000000000004
2025-01-17,7.31,529.5833333333334,0.5611999999999999
2025-01-18,7.21,540.8333333333334,0.7986
2025-01-19,6.73,530.0,0.8420000000000001
2025-01-20,6.99,553.75,0.7016
2025-01-21,7.23,557.9166666666666,0.5388000000000001
2025-01-22,6.39,567.9166666666666,0.6424
2025-01-23,8.7,552.0833333333334,0.40990000000000004
2025-01-24,9.23,519.5833333333334,0.4071
2025-01-25,8.88,443.75,0.7796
2025-01-26,7.91,315.4166666666667,0.8295999999999999
2025-01-27,7.23,480.4166666666667,0.6779999999999999
2025-01-28,6.66,564.5833333333334,0.6646
2025-01-29,6.98,571.25,0.7453
2025-01-30,7.17,574.5833333333334,0.7661
2025-01-31,9.24,404.5833333333333,0.7112999999999999
2025-02-01,12.56,348.75,0.7785
2025-02-02,13.73,577.0833333333334,0.7323000000000001
2025-02-03,11.6,410.0,0.8045
2025-02-04,12.91,495.8333333333333,0.7957
2025-02-05,9.58,524.1666666666666,0.8009000000000001
2025-02-06,12.1,160.83333333333334,0.8239
2025-02-07,11.49,448.3333333333333,0.7938
2025-02-08,9.0,491.25,0.7618
2025-02-09,8.48,647.0833333333334,0.7066
2025-02-10,7.74,502.9166666666667,0.7243
2025-02-11,8.53,623.75,0.7204999999999999
2025-02-12,8.25,508.3333333333333,0.8409
2025-02-13,11.62,234.16666666666666,0.8865000000000001
2025-02-14,9.91,466.6666666666667,0.8095
2025-02-15,8.73,596.25,0.7843000000000001
2025-02-16,11.65,640.0,0.7219
2025-02-17,11.15,579.1666666666666,0.8112
2025-02-18,11.52,639.1666666666666,0.7686
2025-02-19,13.37,636.6666666666666,0.7509
2025-02-20,11.18,429.5833333333333,0.7670999999999999
2025-02-21,10.91,645.4166666666666,0.6960999999999999
2025-02-22,12.72,710.4166666666666,0.6325
2025-02-23,13.92,692.5,0.6613
2025-02-24,15.53,655.4166666666666,0.7198
2025-02-25,13.44,544.5833333333334,0.8064
2025-02-26,13.24,779.1666666666666,0.6829999999999999
2025-02-27,14.44,616.25,0.4363
2025-02-28,15.46,600.8333333333334,0.40840000000000004
2025-03-01,15.18,775.4166666666666,0.6173
2025-03-02,10.53,497.0833333333333,0.7806000000000001
2025-03-03,10.63,561.6666666666666,0.7426999999999999
2025-03-04,12.68,737.9166666666666,0.7289
2025-03-05,9.78,192.91666666666666,0.8753
2025-03-06,8.41,620.0,0.7743000000000001
2025-03-07,9.02,773.3333333333334,0.7036
2025-03-08,10.64,866.25,0.5473
2025-03-09,12.7,857.0833333333334,0.5146000000000001
2025-03-10,13.49,742.5,0.6656
2025-03-11,14.52,611.6666666666666,0.6317
2025-03-12,12.58,391.6666666666667,0.7931
2025-03-13,7.39,555.8333333333334,0.8301000000000001
2025-03-14,6.38,511.25,0.8708
2025-03-15,10.35,776.6666666666666,0.7323999999999999
2025-03-16,11.06,729.1666666666666,0.6876000000000001
2025-03-17,11.11,414.1666666666667,0.7868
2025-03-18,11.03,851.25,0.7011
2025-03-19,12.71,762.9166666666666,0.6496
2025-03-20,12.47,853.75,0.7323000000000001
2025-03-21,13.32,845.0,0.6956
2025-03-22,14.26,699.1666666666666,0.7563
2025-03-23,16.19,923.3333333333334,0.7705
2025-03-24,18.82,915.4166666666666,0.7509999999999999
2025-03-25,21.09,910.4166666666666,0.6297
2025-03-26,19.02,940.4166666666666,0.6783
2025-03-27,16.61,895.4166666666666,0.7165
2025-03-28,15.53,835.8333333333334,0.6886
2025-03-29,13.49,960.4166666666666,0.6786
2025-03-30,13.05,639.1666666666666,0.8044
2025-03-31,14.01,472.5,0.7731
2025-04-01,10.98,694.5833333333334,0.7755
2025-04-02,11.02,745.0,0.7283
2025-04-03,12.34,956.6666666666666,0.6923999999999999
2025-04-04,14.03,1030.4166666666667,0.5997
2025-04-05,15.79,1043.3333333333333,0.5427000000000001
2025-04-06,18.11,1019.5833333333334,0.5715
2025-04-07,19.24,945.0,0.6121
2025-04-08,18.37,1016.25,0.6551
2025-04-09,19.3,1062.5,0.616
2025-04-10,21.31,1067.9166666666667,0.584
2025-04-11,20.07,971.6666666666666,0.6109
2025-04-12,18.86,1107.0833333333333,0.5502
2025-04-13,18.84,1118.75,0.589
2025-04-14,21.59,1015.8333333333334,0.5417000000000001
2025-04-15,20.17,868.75,0.6472
2025-04-16,18.91,703.75,0.6509
2025-04-17,17.65,591.6666666666666,0.6720999999999999
2025-04-18,17.98,845.8333333333334,0.6011
2025-04-19,19.57,1116.25,0.5146000000000001
2025-04-20,20.25,1135.8333333333333,0.5165
2025-04-21,21.14,1140.8333333333333,0.4507
