Fecha,Temp_Ventila_C,Salinidad_psu,Actividad_Agua_aw,Radiacion_Infrarroja_W_m2
2025-01-01 00:00:00+00:00,2.360089920857847,34.52531963451965,0.9817015805937046,320.1541742462807
2025-01-02 00:00:00+00:00,2.3320456866563886,34.52826854110625,0.9817000176732137,320.0238398856526
2025-01-03 00:00:00+00:00,2.3218002134377085,34.52935099165292,0.981699443974424,319.9762344199047
2025-01-04 00:00:00+00:00,2.3411676189193753,34.52715210016792,0.981700609386911,320.06622930208397
2025-01-05 00:00:00+00:00,2.355414157090278,34.52538579092,0.9817015455308125,320.1324410722881
2025-01-06 00:00:00+00:00,2.366087147760903,34.52412895417201,0.9817022116542888,320.1820512640789
2025-01-07 00:00:00+00:00,2.3673493291920833,34.524306540505,0.9817021175335323,320.1879185166371
2025-01-08 00:00:00+00:00,2.377976988023773,34.52262760156606,0.98170300737117,320.2373244050549
2025-01-09 00:00:00+00:00,2.382439766514722,34.521979514298884,0.9817033508574216,320.25807268596094
2025-01-10 00:00:00+00:00,2.3958177096952085,34.52030971948472,0.9817042358486731,320.32027525410723
2025-01-11 00:00:00+00:00,2.394751498296111,34.52034571008042,0.9817042167736574,320.3153174267754
2025-01-12 00:00:00+00:00,2.395194232477639,34.519969851193956,0.9817044159788672,320.31737611061413
2025-01-13 00:00:00+00:00,2.3783103478267362,34.52208521052278,0.9817032948384229,320.238874221466
2025-01-14 00:00:00+00:00,2.3916711364011807,34.52021513244556,0.9817042859798039,320.30099422813106
2025-01-15 00:00:00+00:00,2.389619371477361,34.520448743265554,0.9817041621660693,320.2914541102682
2025-01-16 00:00:00+00:00,2.3942277657129165,34.51979617819973,0.9817045080255542,320.3128821186895
2025-01-17 00:00:00+00:00,2.3901169651172918,34.52034696937028,0.9817042161062337,320.2937677582666
2025-01-18 00:00:00+00:00,2.4173181152804863,34.5169040666609,0.9817060408446697,320.42026329978034
2025-01-19 00:00:00+00:00,2.410264774036389,34.51770707151465,0.9817056152520972,320.3874590223388
2025-01-20 00:00:00+00:00,2.406095296931458,34.518020270650695,0.9817054492565551,320.3680684493534
2025-01-21 00:00:00+00:00,2.4040866935274305,34.51829927498229,0.9817053013842594,320.3587275511773
2025-01-22 00:00:00+00:00,2.3687703914533333,34.52232766106882,0.9817031663396335,320.19452442350826
2025-01-23 00:00:00+00:00,2.3707374721225,34.52182264229292,0.9817034339995847,320.20366870364234
2025-01-24 00:00:00+00:00,2.395262897728702,34.519055981064426,0.9817049003300359,320.3176954002512
2025-01-25 00:00:00+00:00,2.4004835405221137,34.518572201056685,0.9817051567334399,320.34197180082015
2025-01-26 00:00:00+00:00,2.382174312402847,34.52071912365021,0.9817040188644653,320.2568385125988
2025-01-27 00:00:00+00:00,2.3976613619650697,34.51870725311979,0.9817050851558465,320.3288482766927
2025-01-28 00:00:00+00:00,2.399913636005903,34.518403750536045,0.9817052460122159,320.3393216327969
2025-01-29 00:00:00+00:00,2.4154007740253878,34.516675772929304,0.9817061618403474,320.4113457172138
2025-01-30 00:00:00+00:00,2.388267775958267,34.519904005045866,0.9817044508773257,320.2851696955635
2025-01-31 00:00:00+00:00,2.4018974035371095,34.518059888570505,0.9817054282590576,320.34854661275614
2025-02-01 00:00:00+00:00,2.3923038917402777,34.519087623542916,0.9817048835595222,320.30393640179955
2025-02-02 00:00:00+00:00,2.373632940967361,34.521204662539795,0.9817037615288539,320.21712909679337
2025-02-03 00:00:00+00:00,2.391669788550556,34.518715794766734,0.9817050806287736,320.3009879609427
2025-02-04 00:00:00+00:00,2.403242373979028,34.51723878462208,0.9817058634441503,320.3548011511557
2025-02-05 00:00:00+00:00,2.4181221320913195,34.51549439750653,0.9817067879693215,320.42400284926657
2025-02-06 00:00:00+00:00,2.424797640401875,34.51438132205451,0.9817073778993111,320.45505246128687
2025-02-07 00:00:00+00:00,2.4329885742763886,34.513643528047226,0.981707768930135,320.4931538144755
2025-02-08 00:00:00+00:00,2.458496097224375,34.51082868672666,0.9817092607960348,320.61182763514256
2025-02-09 00:00:00+00:00,2.4290644133265973,34.514714883328956,0.9817072011118356,320.47489956935186
2025-02-10 00:00:00+00:00,2.4456279949102084,34.51264747532931,0.9817082968380755,320.55195463516077
2025-02-11 00:00:00+00:00,2.44477162712625,34.51270260429333,0.9817082676197245,320.547970405229
2025-02-12 00:00:00+00:00,2.437494239071528,34.51360845046542,0.9817077875212533,320.5141140361802
2025-02-13 00:00:00+00:00,2.4518857513709724,34.51185535907646,0.9817087166596895,320.5810698196336
2025-02-14 00:00:00+00:00,2.4577054840456944,34.51135883869799,0.9817089798154901,320.60814881030126
2025-02-15 00:00:00+00:00,2.443515390592361,34.51317859056118,0.9817080153470026,320.5421258630325
2025-02-16 00:00:00+00:00,2.450490531086528,34.5123210734718,0.98170846983106,320.57457816862467
2025-02-17 00:00:00+00:00,2.4280774960306943,34.51450996440201,0.9817073097188669,320.4703087921397
2025-02-18 00:00:00+00:00,2.4252941536996526,34.514934616425975,0.9817070846532943,320.45736197037496
2025-02-19 00:00:00+00:00,2.4296649363913887,34.514536842374376,0.9817072954735416,320.4776930064853
